"DISTRITO";"DISTRITO_nome";"sexo";"Sexo";"faixa_idade";"fx_idade";"N";"n";"fator"
1;"AGUAS LINDAS DE GOIAS";"Feminino";2;"1";"fx0a4";11085.1021090201;119;93.1521185631943
1;"AGUAS LINDAS DE GOIAS";"Masculino";1;"1";"fx0a4";11386.176630775;136;83.7218869909927
2;"ALEXANIA";"Feminino";2;"1";"fx0a4";819.237125695217;40;20.4809281423804
2;"ALEXANIA";"Masculino";1;"1";"fx0a4";865.31403514377;50;17.3062807028754
4;"CIDADE OCID_J ABC";"Feminino";2;"1";"fx0a4";740.17636805837;63;11.7488312390218
4;"CIDADE OCID_J ABC";"Masculino";1;"1";"fx0a4";766.758222562141;69;11.112438008147
3;"CIDADE OCID_SEDE";"Feminino";2;"1";"fx0a4";2421.16299148764;57;42.4765437103094
3;"CIDADE OCID_SEDE";"Masculino";1;"1";"fx0a4";2523.13864933078;68;37.1049801372174
8;"COCALZ de GOIAS_GIR/EDI";"Feminino";2;"1";"fx0a4";328.097380769231;66;4.97117243589743
8;"COCALZ de GOIAS_GIR/EDI";"Masculino";1;"1";"fx0a4";373.981131526391;71;5.26733988065339
7;"COCALZ de GOIAS_SEDE";"Feminino";2;"1";"fx0a4";260.710376638177;54;4.82796993774401
7;"COCALZ de GOIAS_SEDE";"Masculino";1;"1";"fx0a4";254.449187589158;49;5.19284056304405
6;"CRISTALINA_CAM LIND";"Feminino";2;"1";"fx0a4";573.389784455959;65;8.82138129932244
6;"CRISTALINA_CAM LIND";"Masculino";1;"1";"fx0a4";612.399621816434;83;7.37830869658355
5;"CRISTALINA_SEDE";"Feminino";2;"1";"fx0a4";2055.21421554404;50;41.1042843108808
5;"CRISTALINA_SEDE";"Masculino";1;"1";"fx0a4";2152.03337818357;67;32.1199011669189
9;"FORMOSA";"Feminino";2;"1";"fx0a4";4418.14966127791;83;53.2307188105772
9;"FORMOSA";"Masculino";1;"1";"fx0a4";4634.30810940257;106;43.7198878245526
11;"LUZIANIA_J INGA";"Feminino";2;"1";"fx0a4";3648.36440089498;54;67.5623037202773
11;"LUZIANIA_J INGA";"Masculino";1;"1";"fx0a4";3913.7238629346;63;62.122600998962
10;"LUZIANIA_SEDE";"Feminino";2;"1";"fx0a4";4767.33660726507;59;80.802315377374
10;"LUZIANIA_SEDE";"Masculino";1;"1";"fx0a4";4910.3937703025;80;61.3799221287812
12;"NOVO GAMA";"Feminino";2;"1";"fx0a4";5337.0031246311;81;65.8889274645815
12;"NOVO GAMA";"Masculino";1;"1";"fx0a4";5425.17527644024;84;64.5854199576219
14;"Pe BERNARDO_M ALTO";"Feminino";2;"1";"fx0a4";579.067365635179;58;9.98392009715826
14;"Pe BERNARDO_M ALTO";"Masculino";1;"1";"fx0a4";613.698603550296;49;12.5244612969448
13;"Pe BERNARDO_SEDE";"Feminino";2;"1";"fx0a4";588.426030130293;54;10.8967783357462
13;"Pe BERNARDO_SEDE";"Masculino";1;"1";"fx0a4";636.857041420118;46;13.8447182917417
