"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_informante"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"cod_sabe_ler"	"cod_freq_escola"	"cod_curso_freq"	"cod_dur_primeiro_grau_eh"	"cod_serie_freq"	"cod_nivel_instr"	"cod_dur_primeiro_grau_era"	"cod_serie_com_aprovacao"	"cod_concluiu_curso"	"cod_tem_cartao"	"cod_ehtitular_cartao"	"cod_tem_cheque"	"cod_ehtitular_conta"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_tem_plano"	"cod_ehtitular"	"cod_num_dependente"	"cod_leite_materno"	"meses_leite_materno"
"36"	3	53	2	6	11	1	4	1	4304.06036872	5332.74216876	0	0	0	0	0	0	0	0	0	0	0	0	0	394.6	1699.44	2094.04	0	0	0	0	0
"37"	3	53	2	6	11	1	5	1	4304.06036872	5332.74216876	0	0	0	0	0	0	0	0	0	0	0	0	0	394.6	1699.44	2094.04	0	0	0	0	0
"38"	3	53	2	6	11	1	6	1	4304.06036872	5332.74216876	0	0	0	0	0	0	0	0	0	0	0	0	0	394.6	1699.44	2094.04	0	0	0	0	0
"39"	3	53	2	6	11	1	7	1	4304.06036872	5332.74216876	0	0	0	0	0	0	0	0	0	0	0	0	0	394.6	1699.44	2094.04	0	0	0	0	0
"40"	3	53	2	6	8	1	1	1	4304.06036872	5332.74216876	0	0	0	0	0	0	0	0	0	0	0	0	0	1209.67	223.2	1432.87	0	0	0	0	0
"41"	3	53	4	2	10	1	1	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	1177.53	413.33	1590.86	0	0	0	0	0
"42"	3	53	4	2	10	1	2	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	1177.53	413.33	1590.86	0	0	0	0	0
"43"	3	53	4	2	10	1	3	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	1177.53	413.33	1590.86	0	0	0	0	0
"44"	3	53	4	2	10	1	4	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	1177.53	413.33	1590.86	0	0	0	0	0
"45"	3	53	4	2	10	1	5	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	1177.53	413.33	1590.86	0	0	0	0	0
"46"	3	53	4	2	10	1	6	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	1177.53	413.33	1590.86	0	0	0	0	0
"47"	3	53	4	2	10	1	7	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	1177.53	413.33	1590.86	0	0	0	0	0
"48"	3	53	4	2	13	1	1	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	1510	0	1510	0	0	0	0	0
"49"	3	53	4	2	2	1	1	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	1	0	1	0	170.13	288.2	458.33	0	0	0	0	0
"50"	3	53	4	2	2	1	2	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	170.13	288.2	458.33	0	0	0	0	0
