"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_informante"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"cod_rel_pess_refe_uc"	"num_familia"	"cod_cond_familia"	"cod_cond_presenca"	"dat_dia_nasc"	"dat_mes_nasc"	"dat_ano_nasc"	"idade_anos"	"idade_mes"	"idade_dia"	"cod_sexo"	"cod_sabe_ler"	"cod_freq_escola"	"cod_curso_freq"	"cod_dur_primeiro_grau_eh"	"cod_serie_freq"	"cod_nivel_instr"	"cod_dur_primeiro_grau_era"	"cod_serie_com_aprovacao"	"cod_concluiu_curso"	"anos_de_estudo"	"cod_cor_raca"	"cod_sit_receita"	"cod_sit_despesa"	"cod_tem_cartao"	"cod_ehtitular_cartao"	"cod_tem_cheque"	"cod_ehtitular_conta"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_gravida"	"num_comprimento"	"num_altura"	"num_peso"	"num_peso_crianca"	"comprimento_imputado"	"altura_imputado"	"peso_imputado"	"renda_percapita"	"cod_religiao"	"cod_tem_plano"	"cod_ehtitular"	"cod_num_dependente"	"cod_unid_consumo"	"teve_necessidade_medicamento"	"precisou_algum_servico"	"tempo_gestacao"	"cod_amamentando"	"cod_leite_materno"	"cod_outro_alimento"	"meses_leite_materno"	"cod_freq_alimentar"	"cod_alimento_consumido"
"15"	2	53	16	6	24	1	3	3	1044.89207584	1294.62404271	3	1	3	2	24	2	1985	23	281	8563	1	1	1	9	0	1	0	0	0	0	11	4	2	2	0	0	0	0	4755	743.9	5498.9	0	0	0	0	0	0	173	83.5	1374.73	110003	2	0	0	2	0	0	-1	-1	-1	-1	-1	-1	-1
"16"	2	53	69	7	13	1	5	5	1127.19468092	1396.59718786	4	2	3	1	31	7	2005	3	41	1276	2	2	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1849.63	242.9	2092.53	0	0	104	17.2	0	0	104	17.2	418.51	110003	2	0	0	0	0	0	-1	-1	2	-1	6	-1	-1
"17"	2	53	69	7	2	1	1	5	1127.19468092	1396.59718786	1	1	1	1	5	3	1967	41	501	15259	1	1	2	7	0	2	0	0	0	0	9	4	1	1	1	1	2	0	1692.8	343.2	2036	0	0	174.5	63.3	0	0	174.5	63.3	339.33	110003	2	0	0	2	2	2	-1	-1	-1	-1	-1	-1	-1
"18"	2	53	69	7	2	1	2	5	1127.19468092	1396.59718786	2	1	2	1	9	5	1962	46	559	17020	2	1	2	5	1	5	0	0	0	0	4	2	1	3	2	0	2	0	1692.8	343.2	2036	2	0	999.9	999.9	0	0	156	69.5	339.33	110003	2	0	0	2	2	2	-1	2	-1	-1	-1	-1	-1
"19"	2	53	69	7	2	1	3	5	1127.19468092	1396.59718786	3	1	3	1	26	4	1997	11	139	4249	2	1	2	5	2	5	0	0	0	0	3	1	2	2	0	0	0	0	1692.8	343.2	2036	2	0	131.8	33.9	0	0	131.8	33.9	339.33	110003	2	0	0	2	0	0	-1	2	-1	-1	-1	-1	-1
"20"	2	53	69	7	2	1	4	5	1127.19468092	1396.59718786	3	1	3	1	20	5	1998	10	126	3860	1	1	2	5	2	4	0	0	0	0	2	2	2	2	0	0	0	0	1692.8	343.2	2036	0	0	133.3	34.3	0	0	133.3	34.3	339.33	110003	2	0	0	2	0	0	-1	-1	-1	-1	-1	-1	-1
"21"	2	53	69	7	2	1	5	5	1127.19468092	1396.59718786	3	1	3	1	2	2	2002	6	82	2506	1	2	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1692.8	343.2	2036	0	0	106.2	26.1	0	0	106.2	26.1	339.33	110003	2	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
"22"	2	53	69	7	2	1	6	5	1127.19468092	1396.59718786	4	1	4	1	9	5	1930	78	943	28708	2	2	4	0	0	0	0	0	0	0	0	1	1	3	2	0	2	0	1692.8	343.2	2036	2	0	999.9	999.9	0	0	161.3	53.2	339.33	110003	2	0	0	2	2	2	-1	2	-1	-1	-1	-1	-1
"23"	2	53	69	7	3	1	1	5	1127.19468092	1396.59718786	1	1	1	1	12	10	1972	36	434	13210	1	1	2	7	0	3	0	0	0	0	10	1	1	1	1	1	2	0	1462.25	41.43	1503.68	0	0	183.6	75.2	0	0	183.6	75.2	751.84	110003	2	0	0	2	2	2	-1	-1	-1	-1	-1	-1	-1
"24"	2	53	69	7	3	1	2	5	1127.19468092	1396.59718786	2	1	2	2	29	12	1982	25	311	9480	2	1	2	7	0	3	0	0	0	0	10	1	2	2	0	0	0	0	1462.25	41.43	1503.68	2	0	0	0	0	0	173.3	60	751.84	110003	2	0	0	2	0	0	-1	2	-1	-1	-1	-1	-1
"25"	2	53	69	7	4	1	1	5	1127.19468092	1396.59718786	1	1	1	1	8	11	1964	44	529	16121	1	1	2	7	0	3	0	0	0	0	10	4	1	1	1	1	1	1	5939.91	411.9	6351.81	0	0	177.6	79.8	0	0	177.6	79.8	1587.95	240075	2	0	0	3	2	2	-1	-1	-1	-1	-1	-1	-1
"26"	2	53	69	7	4	1	2	5	1127.19468092	1396.59718786	2	1	2	1	20	1	1963	45	551	16779	2	1	2	7	0	3	0	0	0	0	10	4	1	1	1	1	2	0	5939.91	411.9	6351.81	2	0	168.2	77.6	0	0	168.2	77.6	1587.95	240075	2	0	0	3	2	2	-1	2	-1	-1	-1	-1	-1
"27"	2	53	69	7	4	1	3	5	1127.19468092	1396.59718786	3	1	3	1	14	7	1989	19	233	7107	2	1	1	11	0	1	0	0	0	0	11	2	1	3	2	0	2	0	5939.91	411.9	6351.81	2	0	999.9	999.9	0	0	172.7	53.2	1587.95	240075	2	0	0	3	1	1	-1	2	-1	-1	-1	-1	-1
