"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"qtd_item"	"cod_unidade_medida"	"cod_peso_volume"	"quantidade_final"	"cod_imput_quant"	"cod_local_compra"
"37"	6	53	2	6	11	1	1	4304.06036872	5332.74216876	6	201	0	30	12	0.98	29.4	1881391.44	0	394.6	1699.44	2094.04	9999	0	0	84	1	0
"38"	6	53	2	6	11	1	1	4304.06036872	5332.74216876	6	401	0	28	12	1.02	28.56	1827637.4	0	394.6	1699.44	2094.04	0	0	0	0	0	0
"39"	6	53	2	6	11	1	1	4304.06036872	5332.74216876	7	101	1	37	4	0.99	36.63	781353.38	0	394.6	1699.44	2094.04	1	9201	36105	13	0	2007
"40"	6	53	2	6	11	1	1	4304.06036872	5332.74216876	6	101	0	12	12	1	12	767914.87	0	394.6	1699.44	2094.04	10	0	0	10	0	0
"41"	6	53	2	6	8	1	1	4304.06036872	5332.74216876	6	201	0	124	12	0.98	121.52	7776417.94	0	1209.67	223.2	1432.87	9999	0	0	382	1	0
"42"	6	53	2	6	8	1	1	4304.06036872	5332.74216876	6	101	0	44.84	12	1	44.84	2869441.91	0	1209.67	223.2	1432.87	9999	0	0	17	1	0
"43"	6	53	4	2	10	1	1	1030.08969936	1276.28385915	7	101	1	90	4	0.99	89.1	454867.57	0	1177.53	413.33	1590.86	3	9201	36102	39	0	2006
"44"	6	53	4	2	10	1	1	1030.08969936	1276.28385915	6	101	0	70	12	1	70	1072078.44	0	1177.53	413.33	1590.86	19	0	0	19	0	0
"45"	6	53	4	2	10	1	1	1030.08969936	1276.28385915	6	201	0	58	12	1	58	888293.57	0	1177.53	413.33	1590.86	162	0	0	162	0	0
"46"	6	53	4	2	13	1	1	1030.08969936	1276.28385915	8	1301	1	800	4	1.04	832	4247472.68	0	1510	0	1510	0	0	0	0	0	7501
"47"	6	53	4	2	13	1	1	1030.08969936	1276.28385915	8	99901	1	1200	4	1.02	1224	6248685.77	0	1510	0	1510	0	0	0	0	0	2101
"48"	6	53	4	2	13	1	1	1030.08969936	1276.28385915	6	201	0	9	12	1	9	137838.66	0	1510	0	1510	56	0	0	56	0	0
"49"	6	53	4	2	13	1	1	1030.08969936	1276.28385915	6	101	0	10	12	1	10	153154.06	0	1510	0	1510	9999	0	0	4	1	0
"50"	6	53	4	2	13	1	1	1030.08969936	1276.28385915	7	101	1	31	4	0.99	30.69	156676.61	0	1510	0	1510	1	9201	36102	13	0	2006
"51"	6	53	4	2	2	1	1	1030.08969936	1276.28385915	9	3001	1	70	4	1.01	70.7	360933.08	3	170.13	288.2	458.33	0	0	0	0	0	7501
"52"	6	53	4	2	2	1	1	1030.08969936	1276.28385915	6	201	0	80	12	1	80	1225232.5	3	170.13	288.2	458.33	120	0	0	120	0	0
"53"	6	53	4	2	2	1	1	1030.08969936	1276.28385915	6	101	0	30	12	1	30	459462.19	3	170.13	288.2	458.33	5	0	0	5	0	0
"54"	6	53	4	2	2	1	1	1030.08969936	1276.28385915	6	901	0	148	12	1	148	2266680.13	3	170.13	288.2	458.33	0	0	0	0	0	0
"55"	6	53	4	2	2	1	1	1030.08969936	1276.28385915	7	101	1	101	4	1	101	515618.68	3	170.13	288.2	458.33	3	9201	36101	39	1	2007
"56"	6	53	4	2	5	1	1	1030.08969936	1276.28385915	6	201	0	22	12	0.98	21.56	330200.16	0	356.8	247.12	603.92	9999	0	0	95	1	0
"57"	6	53	4	2	5	1	1	1030.08969936	1276.28385915	6	101	0	27	12	1	27	413515.97	0	356.8	247.12	603.92	9999	0	0	10	1	0
"58"	6	53	4	2	5	1	1	1030.08969936	1276.28385915	7	101	1	32	4	0.98	31.36	160097.05	0	356.8	247.12	603.92	1	9201	36101	13	0	2006
"59"	6	53	4	2	7	1	1	1030.08969936	1276.28385915	7	101	1	66	4	0.98	64.68	330200.16	0	416	204	620	3	9203	36101	39	0	2006
"60"	6	53	4	2	7	1	1	1030.08969936	1276.28385915	6	101	0	25	12	1	25	382885.16	0	416	204	620	27	0	0	27	0	0
"61"	6	53	4	2	7	1	1	1030.08969936	1276.28385915	6	201	0	19.92	12	0.99	19.72	302019.81	0	416	204	620	315	0	0	74	1	0
"62"	6	53	4	2	9	1	1	1030.08969936	1276.28385915	9	5401	1	100	4	1.02	102	520723.81	0	2496.27	400.19	2896.46	0	0	0	0	0	7501
"63"	6	53	4	2	9	1	1	1030.08969936	1276.28385915	6	101	0	53	12	1	53	811716.53	0	2496.27	400.19	2896.46	9999	0	0	20	1	0
