"DISTRITO";"DISTRITO_nome";"sexo";"Sexo";"faixa_idade";"fx_idade";"N";"n";"fator"
11;"LUZIANIA_J INGA";"Masculino";1;"15";"fx70m";1059.94362758479;35;30.2841036452798
10;"LUZIANIA_SEDE";"Feminino";2;"15";"fx70m";2077.57911498789;86;24.1578966859057
10;"LUZIANIA_SEDE";"Masculino";1;"15";"fx70m";1823.229248777;83;21.9666174551446
12;"NOVO GAMA";"Feminino";2;"15";"fx70m";1507.71158;48;31.4106579166667
12;"NOVO GAMA";"Masculino";1;"15";"fx70m";1300.37529;55;23.6431870909091
14;"Pe BERNARDO_M ALTO";"Feminino";2;"15";"fx70m";224.26068337139;39;5.75027393259974
14;"Pe BERNARDO_M ALTO";"Masculino";1;"15";"fx70m";236.77903582382;36;6.57719543955057
13;"Pe BERNARDO_SEDE";"Feminino";2;"15";"fx70m";387.549145102211;56;6.92052044825377
13;"Pe BERNARDO_SEDE";"Masculino";1;"15";"fx70m";409.1823476685;48;8.52463224309375
15;"PLANALTINA";"Feminino";2;"15";"fx70m";1475.00709;50;29.5001418
15;"PLANALTINA";"Masculino";1;"15";"fx70m";1359.94538;41;33.1693995121951
16;"SANTO ANTONIO DO DESCOBERTO";"Feminino";2;"15";"fx70m";1206.55258;44;27.4216495454546
16;"SANTO ANTONIO DO DESCOBERTO";"Masculino";1;"15";"fx70m";1013.98725;50;20.279745
17;"VALPARAISO DE GOIAS";"Feminino";2;"15";"fx70m";2183.48321;36;60.6523113888889
17;"VALPARAISO DE GOIAS";"Masculino";1;"15";"fx70m";1683.19896;32;52.5999675
