"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_informante"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"cod_estado"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_local_compra"
"34"	13	53	17	4	12	1	2	3	714.62123536	885.41759874	51	101	3	1200	3	1	0.92	1104	977501.03	0	1331.5	262.37	1593.87	9901
"35"	13	53	17	4	2	1	2	3	714.62123536	885.41759874	51	101	3	1800	1	1	0.92	1656	1466251.54	0	2331.25	98.87	2430.12	9902
"36"	13	53	17	4	4	1	1	3	714.62123536	885.41759874	51	101	3	5570	3	1	0.92	5124.4	4537233.94	0	1241.98	0	1241.98	9901
"37"	13	53	18	2	13	1	2	3	591.89733152	733.36235763	51	401	3	2900	3	1	0.95	2755	2020413.3	0	2100	21.63	2121.63	9902
"38"	13	53	18	2	6	1	2	3	591.89733152	733.36235763	51	101	3	37000	1	1	0.92	34040	24963654.65	0	5909.44	35.75	5945.18	9902
"39"	13	53	19	0	10	1	1	3	575.3030303	712.80197457	51	301	1	150	1	1	1.04	156	111197.11	0	1308.53	130.88	1439.41	4401
"40"	13	53	19	0	2	1	1	3	575.3030303	712.80197457	51	301	1	999999.99	1	1	1.07	118.45	84431.39	1	934.21	265.17	1199.38	4401
"41"	13	53	19	0	3	1	1	3	575.3030303	712.80197457	51	101	1	3300	3	1	0.92	3036	2164066.79	0	1759.81	460.39	2220.2	7501
"42"	13	53	19	0	3	1	1	3	575.3030303	712.80197457	51	301	7	230	1	1	1.07	246.1	175420.57	0	1759.81	460.39	2220.2	4401
"43"	13	53	19	0	4	1	1	3	575.3030303	712.80197457	51	101	1	21000	3	1	0.93	19530	13921022.56	0	3325.75	0	3325.75	7501
"44"	13	53	20	4	10	1	4	3	433.06486034	536.56850618	51	301	1	50	3	1	1.07	53.5	28706.42	3	2587.04	18.35	2605.38	7501
"45"	13	53	20	4	16	1	2	3	433.06486034	536.56850618	51	301	1	50	3	1	1.07	53.5	28706.42	3	2333.16	393.74	2726.9	7501
"46"	13	53	21	2	9	1	4	3	609.22459893	754.83088773	51	301	7	500	1	1	1.05	525	396286.22	0	126.74	45.35	172.09	201
"47"	13	53	22	0	9	1	1	3	1101.51778656	1364.78344791	51	301	3	190	1	1	1.03	195.7	267088.12	0	1148.95	0	1148.95	4010
"48"	13	53	23	9	2	1	1	3	1215.29644269	1505.75550347	51	301	1	180	1	1	1.05	189	284587.79	0	900	212.84	1112.84	4010
"49"	13	53	23	9	3	1	1	3	1215.29644269	1505.75550347	51	101	3	3000	3	1	0.93	2790	4201057.85	0	1240.97	0	1240.97	7501
"50"	13	53	23	9	9	1	2	3	1215.29644269	1505.75550347	51	101	1	24000	3	1	0.94	22560	33969844.16	0	5916.59	501.42	6418	7501
"51"	13	53	24	7	10	1	1	3	906.18465909	1122.76518688	51	101	3	4600	1	1	0.93	4278	4803189.47	3	2625	607.04	3232.04	9901
"52"	13	53	24	7	8	1	1	3	906.18465909	1122.76518688	51	401	3	2592	1	1	0.95	2462.4	2764697	0	4959.34	560.58	5519.91	9902
"53"	13	53	24	7	8	1	1	3	906.18465909	1122.76518688	51	101	3	4360	1	1	0.94	4098.4	4601540.84	0	4959.34	560.58	5519.91	9902
"54"	13	53	25	5	10	1	1	3	1346.01033058	1667.71035593	51	101	3	5792	3	1	0.93	5386.56	8983221.89	0	3640	314.37	3954.37	9902
"55"	13	53	25	5	3	1	1	3	1346.01033058	1667.71035593	51	101	3	6000	1	1	0.93	5580	9305823.79	0	1272	658.48	1930.48	9902
"56"	13	53	27	1	1	1	1	3	1457.22688752	1805.50796383	51	101	1	7000	3	1	0.93	6510	11753856.84	3	897.28	347.25	1244.53	7501
"57"	13	53	27	1	1	1	2	3	1457.22688752	1805.50796383	51	101	3	800	1	1	0.95	760	1372186.05	0	897.28	347.25	1244.53	9902
"58"	13	53	27	1	1	1	2	3	1457.22688752	1805.50796383	51	301	3	1300	3	1	1.03	1339	2417575.16	0	897.28	347.25	1244.53	7501
"59"	13	53	27	1	2	1	1	3	1457.22688752	1805.50796383	51	101	1	7000	3	1	0.93	6510	11753856.84	3	2357.78	550.75	2908.53	7501
"60"	13	53	27	1	9	1	2	3	1457.22688752	1805.50796383	51	301	2	139	1	1	1.04	144.56	261004.23	3	1943.33	432.86	2376.19	101
"61"	13	53	28	0	10	1	2	3	869.61583044	1077.45631155	51	401	3	4000	1	1	0.96	3840	4137432.24	3	1008.6	19.28	1027.88	9902
"62"	13	53	29	8	13	1	1	3	1019.45454545	1263.10687536	51	401	3	6900	1	1	0.98	6762	8541128.69	0	1965.78	1	1966.78	9903
"63"	13	53	29	8	13	1	3	3	1019.45454545	1263.10687536	51	301	1	110	1	1	1.03	113.3	143110.01	0	1965.78	1	1966.78	7502
"64"	13	53	29	8	3	1	4	3	1019.45454545	1263.10687536	51	1001	1	1200	3	1	1	1200	1515728.25	0	1026.22	178.1	1204.32	7501
"65"	13	53	29	8	6	1	1	3	1019.45454545	1263.10687536	51	301	1	150	1	1	1.04	156	197044.67	0	2560	93.55	2653.55	4010
"66"	13	53	31	0	10	1	2	3	592.61492979	734.25146377	51	101	3	56000	1	1	0.95	53200	39062177.87	3	1387.92	250	1637.92	9902
"67"	13	53	31	0	2	1	1	3	592.61492979	734.25146377	51	101	3	3600	3	1	0.94	3384	2484706.95	0	2206.61	153.99	2360.6	9902
"68"	13	53	31	0	8	1	2	3	592.61492979	734.25146377	51	101	3	6980	1	1	0.95	6631	4868821.46	0	2187.1	0	2187.1	9902
"69"	13	53	32	8	18	1	1	3	1598.16363636	1980.12896802	51	101	3	3600	3	1	0.94	3384	6700756.43	3	1425	0	1425	9902
"70"	13	53	32	8	8	1	1	3	1598.16363636	1980.12896802	51	101	3	3095.61	3	1	0.94	2909.87	5761917.88	0	2829.1	0	2829.1	9902
"71"	13	53	33	6	13	1	1	3	416.7539865	516.35929039	51	101	3	399	3	1	0.93	371.07	191605.44	3	1301.32	284.16	1585.48	8201
"72"	13	53	33	6	2	1	1	3	416.7539865	516.35929039	51	101	3	999999.99	1	1	0.93	4278	2208985.04	1	6527.17	467.45	6994.62	9902
"73"	13	53	33	6	7	1	1	3	416.7539865	516.35929039	51	301	3	150	1	1	1.04	156	80552.05	0	1702.31	248	1950.31	4010
"74"	13	53	34	4	1	1	1	3	548.30816072	679.35525984	51	101	3	11000	1	1	0.94	10340	7024533.39	0	6857.5	582.83	7440.33	9902
"75"	13	53	34	4	10	1	1	3	548.30816072	679.35525984	51	301	1	430	1	1	1.03	442.9	300886.44	0	3975.06	387.92	4362.97	4010
"76"	13	53	34	4	12	1	1	3	548.30816072	679.35525984	51	101	3	10000	3	1	0.95	9500	6453874.97	0	7414.28	0	7414.28	7501
"77"	13	53	34	4	12	1	1	3	548.30816072	679.35525984	51	301	1	60	3	1	1.03	61.8	41984.16	0	7414.28	0	7414.28	13101
"78"	13	53	34	4	14	1	2	3	548.30816072	679.35525984	51	101	3	5112	1	1	0.95	4856.4	3299220.88	0	6060	458.23	6518.23	9902
"79"	13	53	34	4	3	1	1	3	548.30816072	679.35525984	51	101	3	4800	3	1	0.94	4512	3065250.93	0	4069.22	590.83	4660.05	9902
"80"	13	53	34	4	4	1	1	3	548.30816072	679.35525984	51	301	1	219	1	1	1.04	227.76	154729.95	0	1576.28	37.5	1613.78	13101
"81"	13	53	35	2	4	1	1	4	466.92957549	578.52697773	51	101	1	80000	1	1	0.92	73600	42579585.56	3	12731.17	420.54	13151.71	9902
"82"	13	53	35	2	5	1	2	4	466.92957549	578.52697773	51	101	3	15000	1	1	0.92	13800	7983672.29	3	11406.63	12.12	11418.75	9902
"83"	13	53	35	2	5	1	3	4	466.92957549	578.52697773	51	101	3	37000	1	1	0.92	34040	19693058.32	3	11406.63	12.12	11418.75	9902
"84"	13	53	36	0	13	1	2	4	1550.25	1920.76384597	51	101	1	34000	1	1	0.92	31280	60081493.1	0	9276.97	320.95	9597.92	9902
"85"	13	53	36	0	4	1	1	4	1550.25	1920.76384597	51	101	3	50000	1	1	0.92	46000	88355136.91	0	6262.81	468.65	6731.46	9902
"86"	13	53	38	7	3	1	1	4	539.74789135	668.74906347	51	101	3	24000	1	1	0.93	22320	14926479.1	0	20142.15	1566.26	21708.41	9902
"87"	13	53	39	5	1	1	1	4	368.33102087	456.36310804	51	101	1	9000	3	1	0.93	8370	3819759.21	0	5745.58	451.16	6196.74	9902
"88"	13	53	39	5	18	1	1	4	368.33102087	456.36310804	51	101	3	12000	3	1	0.93	11160	5093012.29	0	3776.2	22	3798.2	9903
"89"	13	53	39	5	6	1	1	4	368.33102087	456.36310804	51	301	3	700	1	1	1.04	728	332232.34	0	2774	0	2774	4401
"90"	13	53	41	7	12	1	1	4	1938.13946459	2401.35991746	51	101	3	16300	3	1	0.93	15159	36402214.99	0	450.62	500	950.62	9902
"91"	13	53	41	7	2	1	2	4	1938.13946459	2401.35991746	51	101	3	1875	1	1	0.95	1781.25	4277422.35	0	943	34.17	977.17	9902
"92"	13	53	42	5	10	1	3	4	642.82555283	796.46255838	51	101	1	2172	3	1	0.95	2063.4	1643420.84	0	10391.38	0	10391.38	9902
"93"	13	53	42	5	14	1	1	4	642.82555283	796.46255838	51	301	1	219	1	1	1.04	227.76	181402.31	3	2538.19	380	2918.19	13101
"94"	13	53	42	5	14	1	2	4	642.82555283	796.46255838	51	101	3	5000	1	1	0.95	4750	3783197.15	0	2538.19	380	2918.19	9902
"95"	13	53	42	5	5	1	1	4	642.82555283	796.46255838	51	101	3	5760	1	1	0.95	5472	4358243.12	0	1590	887	2477	9902
"96"	13	53	43	3	5	1	1	4	1368.97470449	1696.16327588	51	101	3	3500	1	1	0.94	3290	5580377.18	0	10718.5	0	10718.5	9902
"97"	13	53	44	1	10	1	2	5	994.46813397	1232.14864551	51	101	3	1800	1	1	0.92	1656	2040438.16	3	2755.25	459	3214.25	9902
"98"	13	53	44	1	15	1	3	5	994.46813397	1232.14864551	51	101	3	5300	1	1	0.92	4876	6007956.8	0	18889.38	447	19336.38	8201
"99"	13	53	45	0	1	1	2	5	648.51214128	803.5082565	51	301	3	84	1	1	1	84	67494.69	0	837.74	22.92	860.66	4010
"100"	13	53	46	8	4	1	2	5	722.16743613	894.76736144	51	101	3	6000	1	1	0.93	5580	4992801.88	0	9459.22	615.67	10074.89	9902
"101"	13	53	47	6	2	1	1	5	567.75985663	703.45596246	51	401	3	1830	3	1	0.93	1701.9	1197211.7	0	3106	0	3106	9902
"102"	13	53	47	6	3	1	1	5	567.75985663	703.45596246	51	401	3	1500	3	1	0.93	1395	981321.07	0	1947.41	357.11	2304.52	7501
"103"	13	53	47	6	3	1	2	5	567.75985663	703.45596246	51	301	3	84	1	1	1	84	59090.3	3	1947.41	357.11	2304.52	4010
"104"	13	53	47	6	6	1	2	5	567.75985663	703.45596246	51	401	3	5000	3	1	0.94	4700	3306243.02	0	1391.45	3.3	1394.75	7502
"105"	13	53	48	4	10	1	6	5	653.67411536	809.90395603	51	101	1	2600	3	1	0.92	2392	1937290.26	2	3232.4	0	3232.4	9902
"106"	13	53	49	2	10	1	1	5	530.04015193	656.72114868	51	301	3	89	1	1	1.07	95.23	62539.55	0	1042.91	369.68	1412.58	4004
"107"	13	53	50	6	13	1	1	5	558.06005812	691.43788648	51	101	3	9165	1	1	0.93	8523.45	5893436.25	0	8315.89	406.63	8722.51	9902
"108"	13	53	50	6	2	1	2	5	558.06005812	691.43788648	51	101	3	1800	1	1	0.92	1656	1145021.14	3	227.33	260	487.33	9902
"109"	13	53	51	4	1	1	2	5	803.94936368	996.09538574	51	301	1	20	3	1	1.02	20.4	20320.35	0	997.4	84.33	1081.73	7501
"110"	13	53	51	4	13	1	4	5	803.94936368	996.09538574	51	101	1	2600	3	1	0.92	2392	2382660.16	0	6863.71	27.7	6891.41	9902
"111"	13	53	51	4	6	1	1	5	803.94936368	996.09538574	51	301	1	80	1	1	1.05	84	83672.01	0	2615.71	60.89	2676.6	4010
"112"	13	53	52	2	5	1	1	5	456.20743034	565.24221155	51	101	1	1500	3	1	0.92	1380	780034.25	0	1086.73	255	1341.73	7501
"113"	13	53	52	2	9	1	1	5	456.20743034	565.24221155	51	101	3	12000	3	1	0.93	11160	6308103.08	0	2193.56	196.35	2389.9	9902
"114"	13	53	52	2	9	1	2	5	456.20743034	565.24221155	51	101	3	12000	3	1	0.93	11160	6308103.08	0	2193.56	196.35	2389.9	9902
"115"	13	53	52	2	9	1	2	5	456.20743034	565.24221155	51	401	3	6000	3	1	0.94	5640	3187966.07	0	2193.56	196.35	2389.9	7501
"116"	13	53	53	0	7	1	1	5	468.82320408	580.87318856	51	101	1	7500	3	1	0.93	6975	4051590.49	0	1591.24	0	1591.24	7502
"117"	13	53	54	9	12	1	2	5	629.58204334	780.05381514	51	401	3	4000	1	1	0.96	3840	2995406.65	0	433.2	316.97	750.17	9902
"118"	13	53	54	9	2	1	3	5	629.58204334	780.05381514	51	301	1	50	3	1	1.07	53.5	41732.88	0	987	161.7	1148.7	7501
"119"	13	53	56	5	3	1	1	5	1034.61562998	1281.89149915	51	101	3	4600	1	1	0.93	4278	5483931.83	0	2575	171.5	2746.5	9901
"120"	13	53	57	3	6	1	1	5	907.55540166	1124.46354054	51	101	3	6000	3	1	0.94	5640	6341974.37	0	1315.03	0	1315.03	9902
"121"	13	53	58	1	10	1	3	5	590.50125858	731.63261957	51	401	3	6000	1	1	0.96	5760	4214203.89	0	4494.2	368.67	4862.87	9902
"122"	13	53	59	0	9	1	1	5	456.01724448	565.00657077	51	301	1	160	1	1	1.03	164.8	93113.08	0	1978.33	4.38	1982.71	4010
"123"	13	53	60	3	5	1	1	5	726.89459145	900.62431936	51	101	3	2250	3	1	0.93	2092.5	1884556.39	0	1228.61	225.15	1453.76	9902
"124"	13	53	61	1	13	1	1	5	959.92009544	1189.34353449	51	101	3	4800	3	1	0.94	4512	5366318.03	0	5624.59	542.4	6166.99	9902
"125"	13	53	61	1	4	1	1	5	959.92009544	1189.34353449	51	301	1	200	1	1	1.05	210	249762.14	0	1855.1	40.43	1895.53	13101
"126"	13	53	62	0	10	1	3	5	897.85650567	1112.44658279	51	101	3	2400	1	1	0.94	2256	2509679.49	0	8889.13	346.4	9235.53	9902
"127"	13	53	63	8	13	1	2	5	471.17241379	583.78386559	51	401	3	4000	1	1	0.96	3840	2241730.04	3	873.55	200	1073.55	9902
"128"	13	53	63	8	2	1	2	5	471.17241379	583.78386559	51	301	1	130	1	1	1.02	132.6	77409.74	0	909.34	101	1010.34	101
"129"	13	53	63	8	4	1	2	5	471.17241379	583.78386559	51	401	1	1685	1	1	0.96	1617.6	944328.78	0	3270.78	20	3290.78	9902
"130"	13	53	63	8	5	1	1	5	471.17241379	583.78386559	51	301	1	50	3	1	1.04	52	30356.76	0	1765.52	816	2581.52	7501
"131"	13	53	64	6	2	1	1	5	688.15697407	852.62830907	51	301	1	150	1	1	1.04	156	133010.02	3	706.08	13.52	719.6	4401
"132"	13	53	64	6	5	1	2	5	688.15697407	852.62830907	51	301	1	260	1	1	1.02	265.2	226117.03	3	1462.25	252.5	1714.75	101
"133"	13	53	64	6	8	1	2	5	688.15697407	852.62830907	51	301	1	260	1	1	1.02	265.2	226117.03	0	767.5	0	767.5	101
"134"	13	53	65	4	2	1	1	5	757.86200194	938.99302278	51	101	3	19000	1	1	0.93	17670	16592006.71	0	18401.67	0	18401.67	9901
"135"	13	53	67	0	10	1	1	5	513.26873065	635.9413134	51	101	3	9000	3	1	0.93	8370	5322828.79	0	4817.32	421	5238.32	9902
"136"	13	53	67	0	11	1	3	5	513.26873065	635.9413134	51	301	1	250	3	1	1.03	257.5	163754.89	0	849.5	481.88	1331.38	7501
"137"	13	53	67	0	9	1	1	5	513.26873065	635.9413134	51	1001	1	8000	3	1	1	8000	5087530.51	0	2898.5	67.33	2965.83	7501
"138"	13	53	68	9	1	1	1	5	780.72917393	967.32550929	51	101	1	56000	3	1	0.93	52080	50378312.52	3	17958.13	397.25	18355.38	9902
"139"	13	53	68	9	7	1	3	5	780.72917393	967.32550929	51	301	1	120	1	1	1.02	122.4	118400.64	3	965.4	497.28	1462.68	1401
"140"	13	53	69	7	13	1	1	5	1127.19468092	1396.59718786	51	101	1	56000	3	1	0.93	52080	72734781.54	3	1849.63	242.9	2092.53	9902
"141"	13	53	69	7	2	1	1	5	1127.19468092	1396.59718786	51	101	3	6000	1	1	0.93	5580	7793012.31	0	1692.8	343.2	2036	9902
"142"	13	53	69	7	4	1	3	5	1127.19468092	1396.59718786	51	301	1	120	1	1	1.02	122.4	170943.5	3	5939.91	411.9	6351.81	1401
"143"	13	53	69	7	8	1	1	5	1127.19468092	1396.59718786	51	101	1	56000	3	1	0.93	52080	72734781.54	0	15722	403.83	16125.83	9902
"144"	13	53	69	7	8	1	2	5	1127.19468092	1396.59718786	51	301	2	139	1	1	1.04	144.56	201892.09	0	15722	403.83	16125.83	101
"145"	13	53	70	0	1	1	2	5	792.37921727	981.75994378	51	301	1	120	1	1	1.02	122.4	120167.42	0	1771.4	593.07	2364.47	1401
"146"	13	53	70	0	13	1	1	5	792.37921727	981.75994378	51	101	1	12000	3	1	0.93	11160	10956440.97	0	2950.78	418.88	3369.67	7502
"147"	13	53	70	0	13	1	4	5	792.37921727	981.75994378	51	301	1	120	1	1	1.02	122.4	120167.42	3	2950.78	418.88	3369.67	1401
"148"	13	53	70	0	5	1	1	5	792.37921727	981.75994378	51	301	3	130	1	1	1.02	132.6	130181.37	0	720.35	345.15	1065.51	4401
"149"	13	53	72	7	1	1	1	5	664.28675136	823.05304007	51	101	1	7000	3	1	0.93	6510	5358075.29	0	600.28	415.58	1015.86	7501
"150"	13	53	72	7	7	1	1	5	664.28675136	823.05304007	51	101	3	999999.99	1	1	0.95	15586.8	12828763.12	1	20600	675.78	21275.78	9902
"151"	13	53	72	7	8	1	1	5	664.28675136	823.05304007	51	101	3	2000	3	1	0.95	1900	1563800.78	0	530	350	880	7501
"152"	13	53	73	5	5	1	2	5	449.25735137	556.63104535	51	101	3	3147	1	1	0.93	2926.71	1629097.65	0	4474.4	20.33	4494.73	7501
"153"	13	53	74	3	12	1	1	5	598.78090575	741.89112429	51	101	1	7000	3	1	0.93	6510	4829711.22	3	560.01	397.25	957.26	7501
"154"	13	53	75	1	1	1	1	5	709.42219242	878.9759708	51	101	3	1700	3	1	0.94	1598	1404603.6	0	1300	0	1300	7501
"155"	13	53	75	1	6	1	1	5	709.42219242	878.9759708	51	101	3	399	3	1	0.93	371.07	326161.61	3	920.06	350	1270.06	8201
"156"	13	53	75	1	7	1	2	5	709.42219242	878.9759708	51	1001	3	9006	1	1	1.01	9096.06	7995218.17	3	1421.74	250	1671.74	9903
"157"	13	53	76	0	3	1	1	5	685.27687034	849.05985294	51	101	3	399	3	1	0.93	371.07	315060.64	0	1500	0	1500	8201
"158"	13	53	76	0	6	1	1	5	685.27687034	849.05985294	51	101	3	4000	3	1	0.94	3760	3192465.05	0	258	188.16	446.16	9903
"159"	13	53	78	6	13	1	2	5	846.73425896	1049.10598404	51	101	3	56000	1	1	0.95	53200	55812438.35	0	5032.12	0	5032.12	9902
"160"	13	53	78	6	7	1	1	5	846.73425896	1049.10598404	51	101	3	999999.99	1	1	0.93	4278	4488075.4	3	576.26	0	576.26	9902
"161"	13	53	79	4	3	1	1	5	795.91383522	986.13934475	51	301	7	199	1	1	1.04	206.96	204091.4	0	693	287.25	980.25	4010
"162"	13	53	79	4	6	1	1	5	795.91383522	986.13934475	51	301	1	115	1	1	1.03	118.45	116808.21	0	5616.67	292.08	5908.75	13101
