"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"cod_inss"	"val_inss"	"cod_especie"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"val_inss_corrigido"	"valor_anual_expandido2"	"valor_inss_anual_expandido2"	"cod_imput"	"cod_imput_inss"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"34"	9	53	15	8	2	1	3	453.29347319	561.63181095	19	1501	1	120	51501	0	3	5	12	1	1.08	129.6	0	873449.79	0	0	0	5883.78	561.47	6445.24
"35"	9	53	15	8	2	1	3	453.29347319	561.63181095	19	301	1	80	50301	0	3	5	12	1	1.08	86.4	0	582299.86	0	0	0	5883.78	561.47	6445.24
"36"	9	53	15	8	3	1	3	453.29347319	561.63181095	19	301	1	100	50301	0	3	5	2	1	1.08	108	0	121312.47	0	0	0	6092.27	400.41	6492.68
"37"	9	53	15	8	4	1	3	453.29347319	561.63181095	19	1501	1	140	51501	0	3	5	12	1	1.08	151.2	0	1019024.76	0	0	0	11013.07	431.2	11444.27
"38"	9	53	16	6	1	1	3	1044.89207584	1294.62404271	19	101	1	500	50101	0	1	4	7	1	1.09	545	0	4938990.72	0	0	0	3832.5	829.34	4661.84
"39"	9	53	16	6	10	1	3	1044.89207584	1294.62404271	19	101	1	415	50101	83	1	5	12	1	1.08	448.2	89.64	6963005.95	1392601.19	0	0	22906.81	664.28	23571.1
"40"	9	53	16	6	12	1	3	1044.89207584	1294.62404271	19	301	1	45	50301	999999.99	3	2	1	1	1.1	49.5	3.96	64083.89	5126.71	0	1	5461.32	994.63	6455.95
"41"	9	53	16	6	15	1	3	1044.89207584	1294.62404271	19	301	1	360	50301	999999.99	3	6	12	1	1.07	385.2	30.82	5984270.18	478803.76	0	1	6808	569.91	7377.91
"42"	9	53	16	6	2	1	3	1044.89207584	1294.62404271	19	101	1	250	50101	999999.99	3	4	12	1	1.09	272.5	21.8	4233420.62	338673.65	0	1	9300	238.8	9538.8
"43"	9	53	16	6	24	1	3	1044.89207584	1294.62404271	19	1501	1	50	51501	0	3	7	12	1	1.05	52.5	0	815613.15	0	0	0	4755	743.9	5498.9
