"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_informante"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"cod_cond_vida"	"cod_qtd_ali"	"cod_tip_ali"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"val_rend_min"	"val_rec_min_ali"	"cod_raz_nao_ali"	"cod_cond_serv_agua"	"cod_cond_col_lixo"	"cod_cond_ilu_rua"	"cod_limpeza"	"cod_cond_dren_chuv"	"cod_forn_ener_elet"	"cod_transporte"	"cod_educacao"	"cod_saude"	"cod_lazeresporte"	"cod_esgotamento"	"cod_pouco_espaco"	"cod_viz_barulhe"	"cod_casa_escura"	"cod_telhado_got"	"cod_par_chao_umid"	"cod_made_deteriora"	"cod_pol_tran_indu"	"cod_vio_area_resid"	"cod_inundacoes"	"cod_cond_morada"	"cod_atraso_alug"	"cod_atraso_desp"	"cod_atraso_pres"
"26"	4	53	6	9	4	1	1	1	974.80523604	1207.78626303	3	3	1	3792.67	22.19	3814.86	3500	400	0	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2
"27"	4	53	6	9	7	1	1	1	974.80523604	1207.78626303	3	3	2	2550	629.25	3179.25	3000	1500	1	1	1	1	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	1	1
"28"	4	53	7	7	1	1	2	2	708.30786026	877.59531031	6	3	1	12066.23	0	12066.23	2500	700	0	1	1	1	1	1	1	2	1	2	1	1	2	1	2	2	2	1	2	2	2	1	2	1	2
"29"	4	53	7	7	11	1	1	2	708.30786026	877.59531031	3	2	3	3998.24	95.64	4093.87	5000	300	1	1	2	1	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2
"30"	4	53	7	7	2	1	1	2	708.30786026	877.59531031	3	2	2	1801	783.32	2584.32	3000	800	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	2	1
"31"	4	53	7	7	3	1	1	2	708.30786026	877.59531031	5	3	1	18531.83	1236	19767.83	15000	2000	0	1	1	1	1	2	1	2	1	2	1	1	1	2	2	2	2	2	2	1	2	1	3	2	2
"32"	4	53	7	7	6	1	1	2	708.30786026	877.59531031	3	3	1	16671.08	739.54	17410.62	10800	0	0	1	1	1	2	2	1	1	2	2	1	1	2	1	2	2	2	2	2	1	2	1	2	2	2
"33"	4	53	7	7	9	1	1	2	708.30786026	877.59531031	2	2	2	2964.52	11	2975.52	3000	400	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	2	2	2	1	2	1	2	2	2
"34"	4	53	8	5	10	1	1	2	806.17718447	998.85566158	3	3	2	797.25	31.33	828.58	1200	300	1	1	1	1	1	1	1	2	1	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1
"35"	4	53	8	5	12	1	1	2	806.17718447	998.85566158	3	3	1	3523.67	1530	5053.67	4000	1500	0	1	1	1	1	2	1	2	1	2	3	1	2	2	2	1	2	2	2	1	2	1	3	2	2
"36"	4	53	8	5	13	1	1	2	806.17718447	998.85566158	3	3	1	11294.07	1052.59	12346.65	5000	800	0	1	1	1	1	2	1	2	1	2	1	1	2	2	2	1	1	1	2	2	2	1	2	2	2
"37"	4	53	8	5	2	1	1	2	806.17718447	998.85566158	3	1	2	2379.2	1285.2	3664.4	4000	600	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	2	2	2	2	2	1	3	1	2
"38"	4	53	8	5	3	1	1	2	806.17718447	998.85566158	2	3	1	7887.54	2550	10437.54	10000	1000	0	1	1	1	1	1	1	1	1	1	3	1	2	2	2	2	2	2	2	2	2	1	2	2	2
