"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"prod_num_quadro_grupo_pro"	"cod_item"	"cod_obtencao"	"val_despesa"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"metodo_quantkg"	"quant_kg"	"cod_local_compra"	"qtd_item"	"cod_unidade_medida"	"cod_peso_volume"
"75"	11	53	14	0	5	1	3	745	923.05696839	65	77	1401	1	5.95	52	1.03	6.13	294233.64	0	6110.56	0	6110.56	0	0.1	201	0.05	1306	12701
"76"	11	53	14	0	5	1	3	745	923.05696839	65	87	203	1	59.49	52	1.06	63.06	3026814.57	0	6110.56	0	6110.56	-2	0	201	0	0	0
"77"	11	53	14	0	5	1	3	745	923.05696839	65	86	202	1	1.59	52	1	1.59	76318.35	0	6110.56	0	6110.56	-2	0	201	0	0	0
"78"	11	53	14	0	5	1	3	745	923.05696839	65	86	1801	1	0.96	52	1	0.96	46079	0	6110.56	0	6110.56	-2	0	201	0	0	0
"79"	11	53	14	0	5	1	3	745	923.05696839	65	78	3301	1	2.89	52	1.12	3.24	155516.64	0	6110.56	0	6110.56	4	0.624	201	0.01	701	0
"80"	11	53	14	0	5	1	3	745	923.05696839	65	80	2226	1	2.79	52	1	2.79	133917.1	0	6110.56	0	6110.56	0	0.24	201	0.01	1301	6201
"81"	11	53	14	0	5	1	3	745	923.05696839	65	89	802	1	1.89	52	1.02	1.93	92638	0	6110.56	0	6110.56	-2	0	201	0	0	0
"82"	11	53	14	0	5	1	3	745	923.05696839	65	70	4702	1	2.29	52	1.05	2.4	115197.51	0	6110.56	0	6110.56	0	0.34	201	0.01	1001	5101
"83"	11	53	14	0	5	1	3	745	923.05696839	65	82	4703	1	15.96	52	1.04	16.6	796782.78	0	6110.56	0	6110.56	0	4	201	0.04	204	13902
"84"	11	53	14	0	5	1	3	745	923.05696839	65	89	1201	1	3.59	52	1.05	3.77	180956.09	0	6110.56	0	6110.56	-2	0	201	0	0	0
"85"	11	53	14	0	5	1	3	745	923.05696839	65	80	2225	1	19.8	52	1	19.8	950379.45	0	6110.56	0	6110.56	1	3.328	201	0.02	1903	0
