"DISTRITO";"DISTRITO_nome";"sexo";"Sexo";"faixa_idade";"fx_idade";"N";"n";"fator"
1;"AGUAS LINDAS DE GOIAS";"FEMININO";2;"1";"fx0a4";11142.95;119;93.6382352941176
1;"AGUAS LINDAS DE GOIAS";"MASCULINO";1;"1";"fx0a4";11449.25;136;84.1856617647059
8;"ALEXANIA";"FEMININO";2;"1";"fx0a4";822.32228867053;40;20.5580572167632
8;"ALEXANIA";"MASCULINO";1;"1";"fx0a4";864.017991601579;50;17.2803598320316
16;"CIDADE OCID_J ABC";"FEMININO";2;"1";"fx0a4";593.251231232042;63;9.41668621003241
16;"CIDADE OCID_J ABC";"MASCULINO";1;"1";"fx0a4";615.359944121953;69;8.91826005973845
15;"CIDADE OCID_SEDE";"FEMININO";2;"1";"fx0a4";2611.73839140947;57;45.8199717791135
15;"CIDADE OCID_SEDE";"MASCULINO";1;"1";"fx0a4";2709.07013081322;68;39.8392666296061
2;"COCALZ de GOIAS_GIR/EDI";"FEMININO";2;"1";"fx0a4";333.464589080515;66;5.05249377394719
2;"COCALZ de GOIAS_GIR/EDI";"MASCULINO";1;"1";"fx0a4";356.73598737976;71;5.02445052647549
3;"COCALZ de GOIAS_SEDE";"FEMININO";2;"1";"fx0a4";323.952880396736;54;5.99912741475436
3;"COCALZ de GOIAS_SEDE";"MASCULINO";1;"1";"fx0a4";346.560487791234;49;7.07266301614764
10;"CRISTALINA_CAM LIND";"FEMININO";2;"1";"fx0a4";246.235622719152;65;3.78824034952541
10;"CRISTALINA_CAM LIND";"MASCULINO";1;"1";"fx0a4";258.959463357878;83;3.11999353443227
9;"CRISTALINA_SEDE";"FEMININO";2;"1";"fx0a4";1186.03901592446;50;23.7207803184893
9;"CRISTALINA_SEDE";"MASCULINO";1;"1";"fx0a4";1247.32572685316;67;18.6168018933307
11;"FORMOSA";"FEMININO";2;"1";"fx0a4";4379.15100610481;83;52.7608554952387
11;"FORMOSA";"MASCULINO";1;"1";"fx0a4";4556.17701704551;106;42.9828020475992
13;"LUZIANIA_J INGA";"FEMININO";2;"1";"fx0a4";3049.81346571815;54;56.4780271429287
13;"LUZIANIA_J INGA";"MASCULINO";1;"1";"fx0a4";3214.95822287657;63;51.0310829028027
12;"LUZIANIA_SEDE";"FEMININO";2;"1";"fx0a4";5246.04230762871;59;88.9159713157408
12;"LUZIANIA_SEDE";"MASCULINO";1;"1";"fx0a4";5530.11095401464;80;69.126386925183
14;"NOVO GAMA";"FEMININO";2;"1";"fx0a4";5318.03486367846;81;65.6547514034378
14;"NOVO GAMA";"MASCULINO";1;"1";"fx0a4";5433.13445451388;84;64.6801720775462
5;"Pe BERNARDO_M ALTO";"FEMININO";2;"1";"fx0a4";417.043652541231;58;7.19040780243502
5;"Pe BERNARDO_M ALTO";"MASCULINO";1;"1";"fx0a4";441.856001486483;49;9.01746941809149
4;"Pe BERNARDO_SEDE";"FEMININO";2;"1";"fx0a4";720.701054607047;54;13.3463158260564
4;"Pe BERNARDO_SEDE";"MASCULINO";1;"1";"fx0a4";763.579745945847;46;16.5995596944749
6;"PLANALTINA";"FEMININO";2;"1";"fx0a4";3608.38728915235;80;45.1048411144043
6;"PLANALTINA";"MASCULINO";1;"1";"fx0a4";3779.12679092212;84;44.9896046538347
17;"SANTO ANTONIO DO DESCOBERTO";"FEMININO";2;"1";"fx0a4";3034.38412281811;57;53.2348091722476
