"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_local_compra"
"40"	7	53	7	7	9	1	2	708.30786026	877.59531031	10	101	2	520	6	4	1	1.06	551.2	1934922.14	0	2964.52	11	2975.52	3701
"41"	7	53	7	7	9	1	2	708.30786026	877.59531031	10	501	3	350	6	6	1	1.03	360.5	1898238.66	0	2964.52	11	2975.52	8303
"42"	7	53	8	5	10	1	2	806.17718447	998.85566158	10	501	3	176	4	2	1	1.04	183.04	365661.08	0	797.25	31.33	828.58	8303
"43"	7	53	8	5	10	1	2	806.17718447	998.85566158	10	101	1	300	9	12	1	1.04	312	3739715.6	0	797.25	31.33	828.58	7501
"44"	7	53	8	5	12	1	2	806.17718447	998.85566158	11	101	3	1100	0	0	1	1.09	1199	1197627.94	0	3523.67	1530	5053.67	2101
"45"	7	53	8	5	13	1	2	806.17718447	998.85566158	10	501	3	524.72	6	1	1	1.03	540.46	539841.53	0	11294.07	1052.59	12346.65	8303
"46"	7	53	8	5	2	1	2	806.17718447	998.85566158	11	1301	1	200	0	0	1	1.07	214	213755.11	3	2379.2	1285.2	3664.4	2101
"47"	7	53	8	5	2	1	2	806.17718447	998.85566158	10	501	3	40	8	12	1	1.02	40.8	489039.73	3	2379.2	1285.2	3664.4	8302
"48"	7	53	8	5	2	1	2	806.17718447	998.85566158	11	2201	1	50	0	0	1	1.07	53.5	53438.78	3	2379.2	1285.2	3664.4	2101
"49"	7	53	8	5	2	1	2	806.17718447	998.85566158	11	501	1	50	0	0	1	1.07	53.5	53438.78	3	2379.2	1285.2	3664.4	2101
"50"	7	53	8	5	7	1	2	806.17718447	998.85566158	10	501	3	999999.99	3	3	1	1.04	74.16	222225.41	1	902.63	0	902.63	8304
"51"	7	53	8	5	7	1	2	806.17718447	998.85566158	10	101	1	800	9	12	1	1.04	832	9972574.93	0	902.63	0	902.63	3701
"52"	7	53	8	5	8	1	2	806.17718447	998.85566158	10	501	1	999999.99	4	6	1	1.04	266.24	1595611.99	1	4278.75	886.88	5165.63	8303
"53"	7	53	8	5	9	1	2	806.17718447	998.85566158	12	901	1	85	0	0	1	1.03	87.55	87449.81	0	8865.56	3.32	8868.88	0
"54"	7	53	8	5	9	1	2	806.17718447	998.85566158	10	501	1	80	7	10	1	1.03	82.4	823057.07	0	8865.56	3.32	8868.88	8303
"55"	7	53	9	3	11	1	2	1096.01433692	1357.96465926	10	501	3	80	5	4	1	1.03	82.4	447585.15	0	10798.1	883.84	11681.94	8202
"56"	7	53	9	3	3	1	2	1096.01433692	1357.96465926	10	401	1	320	4	12	1	0.96	307.2	5006000.92	0	11100	634.21	11734.21	5801
"57"	7	53	9	3	3	1	2	1096.01433692	1357.96465926	10	501	1	705.51	1	1	1	1	705.51	958057.65	0	11100	634.21	11734.21	8303
"58"	7	53	9	3	9	1	2	1096.01433692	1357.96465926	10	501	1	999999.99	2	12	1	1.06	266.24	4338534.13	1	7143.4	2.6	7146	8303
"59"	7	53	10	7	5	1	2	2697.14328269	3341.76765348	10	501	3	66.66	6	6	1	1.03	68.66	1376674.6	0	1932.79	960.06	2892.85	8303
"60"	7	53	10	7	7	1	2	2697.14328269	3341.76765348	10	501	1	400	4	3	1	0.96	384	3849716.34	0	4390.83	1191	5581.83	8303
"61"	7	53	10	7	9	1	2	2697.14328269	3341.76765348	10	501	1	60	8	12	1	1.02	61.2	2454194.16	0	5673.78	955.89	6629.66	8303
"62"	7	53	11	5	12	1	2	789.76507937	978.52102	10	1101	1	45	6	12	1	1.03	46.35	544253.39	0	14550	1670	16220	8303
"63"	7	53	11	5	12	1	2	789.76507937	978.52102	11	7704	1	800	0	0	1	1.02	816	798473.15	0	14550	1670	16220	2101
"64"	7	53	11	5	12	1	2	789.76507937	978.52102	11	1601	1	1200	0	0	1	1.02	1224	1197709.73	0	14550	1670	16220	7501
