"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ord_inform"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"val_recebido"	"val_deducao"	"cod_deduc"	"mes_ultimo_rendimento"	"num_meses_resgate"	"fator_anual"	"num_deflator"	"val_recebido_corrigido"	"val_deducao_corrigido"	"valor_anual_expandido2"	"valor_deduc_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"36"	15	53	4	2	2	1	1	1	1030.08969936	1276.28385915	55	6401	360	0	56401	0	0	1	1.06	381.6	0	487029.92	0	3	170.13	288.2	458.33
"37"	15	53	4	2	5	1	1	1	1030.08969936	1276.28385915	54	1001	100	0	51001	8	12	1	1.02	102	0	1562171.44	0	0	356.8	247.12	603.92
"38"	15	53	4	2	9	1	2	1	1030.08969936	1276.28385915	55	3701	600	0	53701	0	0	1	1.05	630	0	804058.83	0	0	2496.27	400.19	2896.46
"39"	15	53	4	2	9	1	3	1	1030.08969936	1276.28385915	54	1601	96	0	51601	9	11	1	1.02	97.92	0	1374710.87	0	0	2496.27	400.19	2896.46
"40"	15	53	4	2	9	1	5	1	1030.08969936	1276.28385915	54	301	1990	0	50301	0	0	1	1.09	2169.1	0	0	0	3	2496.27	400.19	2896.46
"41"	15	53	4	2	9	1	5	1	1030.08969936	1276.28385915	55	6501	1990	0	56501	0	0	1	1.05	2089.5	0	2666795.12	0	3	2496.27	400.19	2896.46
"42"	15	53	5	0	11	1	1	1	947.38889615	1173.81734545	55	3701	460	30	53701	0	0	1	1.02	469.2	30.6	550755.1	35918.81	0	1162.22	25.08	1187.3
"43"	15	53	5	0	11	1	2	1	947.38889615	1173.81734545	54	1001	102	0	51001	12	12	1	1.01	103.02	0	1451119.96	0	0	1162.22	25.08	1187.3
"44"	15	53	5	0	12	1	1	1	947.38889615	1173.81734545	54	1501	999999	0	51501	12	12	1	1	257.5	0	3627095.6	0	1	2096.5	0	2096.5
"45"	15	53	5	0	12	1	1	1	947.38889615	1173.81734545	54	1601	40	0	51601	12	12	1	1	40	0	563432.33	0	0	2096.5	0	2096.5
"46"	15	53	5	0	12	1	1	1	947.38889615	1173.81734545	55	3701	450	0	53701	0	0	1	1.02	459	0	538782.16	0	0	2096.5	0	2096.5
"47"	15	53	5	0	12	1	1	1	947.38889615	1173.81734545	55	3801	450	0	53801	0	0	1	1.02	459	0	538782.16	0	0	2096.5	0	2096.5
"48"	15	53	5	0	12	1	3	1	947.38889615	1173.81734545	54	1601	80	0	51601	12	12	1	1	80	0	1126864.65	0	0	2096.5	0	2096.5
"49"	15	53	5	0	12	1	3	1	947.38889615	1173.81734545	55	3701	450	0	53701	0	0	1	1.02	459	0	538782.16	0	0	2096.5	0	2096.5
"50"	15	53	5	0	12	1	3	1	947.38889615	1173.81734545	55	3801	450	0	53801	0	0	1	1.02	459	0	538782.16	0	0	2096.5	0	2096.5
"51"	15	53	5	0	12	1	4	1	947.38889615	1173.81734545	55	3701	450	0	53701	0	0	1	1.02	459	0	538782.16	0	0	2096.5	0	2096.5
"52"	15	53	5	0	12	1	4	1	947.38889615	1173.81734545	55	3801	450	0	53801	0	0	1	1.02	459	0	538782.16	0	0	2096.5	0	2096.5
"53"	15	53	5	0	13	1	1	1	947.38889615	1173.81734545	54	301	6000	1500	50301	1	12	1	1	6000	1500	84514848.87	21128712.22	0	6910	1171.9	8081.9
"54"	15	53	5	0	13	1	1	1	947.38889615	1173.81734545	55	6501	6000	1200	56501	0	0	1	1.02	6120	1224	7183762.15	1436752.43	0	6910	1171.9	8081.9
"55"	15	53	5	0	4	1	1	1	947.38889615	1173.81734545	54	101	400	0	50101	11	12	1	1	400	0	5634323.26	0	0	4390	1076.27	5466.27
"56"	15	53	5	0	4	1	1	1	947.38889615	1173.81734545	54	301	3800	0	50301	11	12	1	1.05	3990	0	56202374.5	0	0	4390	1076.27	5466.27
"57"	15	53	5	0	5	1	1	1	947.38889615	1173.81734545	54	1501	999999	0	51501	11	12	1	1.01	336.6	0	4741283.02	0	1	868.35	15.75	884.1
"58"	15	53	5	0	5	1	1	1	947.38889615	1173.81734545	55	3701	450	0	53701	0	0	1	1.03	463.5	0	544064.34	0	0	868.35	15.75	884.1
"59"	15	53	5	0	5	1	1	1	947.38889615	1173.81734545	55	3801	450	12	53801	0	0	1	1.03	463.5	12.36	544064.34	14508.38	0	868.35	15.75	884.1
"60"	15	53	5	0	8	1	1	1	947.38889615	1173.81734545	55	3701	400	0	53701	0	0	1	1.03	412	0	483612.75	0	0	488.83	19.28	508.11
"61"	15	53	5	0	9	1	1	1	947.38889615	1173.81734545	55	3701	480	0	53701	0	0	1	1.02	489.6	0	574700.97	0	0	1825.4	19.4	1844.8
"62"	15	53	5	0	9	1	1	1	947.38889615	1173.81734545	55	3801	600	0	53801	0	0	1	1.02	612	0	718376.22	0	0	1825.4	19.4	1844.8
"63"	15	53	5	0	9	1	2	1	947.38889615	1173.81734545	54	1501	80	0	51501	9	12	1	1.02	81.6	0	1149401.94	0	0	1825.4	19.4	1844.8
"64"	15	53	5	0	9	1	2	1	947.38889615	1173.81734545	55	3801	820	0	53801	0	0	1	1.02	836.4	0	981780.83	0	0	1825.4	19.4	1844.8
"65"	15	53	5	0	9	1	2	1	947.38889615	1173.81734545	55	3701	700	0	53701	0	0	1	1.02	714	0	838105.58	0	0	1825.4	19.4	1844.8
"66"	15	53	6	9	11	1	1	1	974.80523604	1207.78626303	55	3701	4500	839	53701	0	0	1	1.01	4545	847.39	5489388.57	1023466	0	5050	660.92	5710.92
"67"	15	53	6	9	11	1	1	1	974.80523604	1207.78626303	55	3801	1500	0	53801	0	0	1	1.01	1515	0	1829796.19	0	0	5050	660.92	5710.92
"68"	15	53	6	9	13	1	1	1	974.80523604	1207.78626303	54	301	4960	991	50301	3	12	1	1.02	5059.2	1010.82	73325187.14	14650254.12	3	5976.48	990	6966.48
"69"	15	53	6	9	13	1	1	1	974.80523604	1207.78626303	55	6501	4050	0	56501	0	0	1	1.01	4090.5	0	4940449.71	0	3	5976.48	990	6966.48
"70"	15	53	6	9	13	1	1	1	974.80523604	1207.78626303	56	101	10000	0	50101	0	0	1	1.02	10200	0	12319419.88	0	3	5976.48	990	6966.48
"71"	15	53	6	9	13	1	2	1	974.80523604	1207.78626303	55	3701	999999	0	53701	0	0	1	1.01	428.4	0	517415.64	0	1	5976.48	990	6966.48
"72"	15	53	6	9	13	1	2	1	974.80523604	1207.78626303	55	3801	999999	0	53801	0	0	1	1.01	428.4	0	517415.64	0	1	5976.48	990	6966.48
"73"	15	53	6	9	4	1	1	1	974.80523604	1207.78626303	55	3701	3200	400	53701	0	0	1	1.02	3264	408	3942214.36	492776.8	0	3792.67	22.19	3814.86
"74"	15	53	6	9	4	1	1	1	974.80523604	1207.78626303	55	3801	1000	0	53801	0	0	1	1.02	1020	0	1231941.99	0	0	3792.67	22.19	3814.86
"75"	15	53	6	9	4	1	1	1	974.80523604	1207.78626303	57	101	2000	0	50101	0	0	1	1.03	2060	0	2488039.7	0	0	3792.67	22.19	3814.86
"76"	15	53	6	9	7	1	1	1	974.80523604	1207.78626303	54	401	2500	0	50401	3	12	1	1.02	2550	0	36958259.65	0	0	2550	629.25	3179.25
"77"	15	53	7	7	1	1	1	2	708.30786026	877.59531031	54	1501	590	0	51501	4	12	1	1.04	613.6	0	6461909.79	0	0	12066.23	0	12066.23
"78"	15	53	7	7	1	1	1	2	708.30786026	877.59531031	54	3601	230	0	53601	4	12	1	1.04	239.2	0	2519049.58	0	0	12066.23	0	12066.23
"79"	15	53	7	7	1	1	1	2	708.30786026	877.59531031	55	5101	280	0	55101	0	0	1	1.07	299.6	0	262927.55	0	0	12066.23	0	12066.23
"80"	15	53	7	7	1	1	1	2	708.30786026	877.59531031	55	1801	380	0	51801	0	0	1	1.09	414.2	0	363499.98	0	0	12066.23	0	12066.23
"81"	15	53	7	7	1	1	1	2	708.30786026	877.59531031	55	3701	4700	0	53701	0	0	1	1.08	5076	0	4454673.8	0	0	12066.23	0	12066.23
"82"	15	53	7	7	1	1	1	2	708.30786026	877.59531031	55	3801	4000	0	53801	0	0	1	1.08	4320	0	3791211.74	0	0	12066.23	0	12066.23
"83"	15	53	7	7	1	1	1	2	708.30786026	877.59531031	56	301	15000	0	50301	0	0	1	1.08	16200	0	14217044.03	0	0	12066.23	0	12066.23
"84"	15	53	7	7	1	1	2	2	708.30786026	877.59531031	54	1601	120	0	51601	4	2	1	1.04	124.8	0	219047.79	0	0	12066.23	0	12066.23
"85"	15	53	7	7	1	1	2	2	708.30786026	877.59531031	55	3801	1046	0	53801	0	0	1	1.08	1129.68	0	991401.87	0	0	12066.23	0	12066.23
"86"	15	53	7	7	1	1	2	2	708.30786026	877.59531031	55	3701	1159	0	53701	0	0	1	1.08	1251.72	0	1098503.6	0	0	12066.23	0	12066.23
"87"	15	53	7	7	11	1	1	2	708.30786026	877.59531031	54	1601	63	0	51601	0	0	1	1.03	64.89	0	0	0	2	3998.24	95.64	4093.87
"88"	15	53	7	7	11	1	1	2	708.30786026	877.59531031	55	3701	3200	143	53701	0	0	1	1.06	3392	151.58	2976803.29	133025.9	0	3998.24	95.64	4093.87
"89"	15	53	7	7	11	1	1	2	708.30786026	877.59531031	55	3801	1066	0	53801	0	0	1	1.06	1129.96	0	991647.6	0	0	3998.24	95.64	4093.87
"90"	15	53	7	7	2	1	4	2	708.30786026	877.59531031	54	701	114	0	50701	4	12	1	1	114	0	1200550.38	0	0	1801	783.32	2584.32
"91"	15	53	7	7	2	1	4	2	708.30786026	877.59531031	55	3701	700	0	53701	0	0	1	1.08	756	0	663462.05	0	0	1801	783.32	2584.32
