"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ordem_inform"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_tipo_ocup"	"cod_posi_ocupa"	"cod_renm_bruto"	"cod_item"	"val_renm_bruto"	"val_mes"	"num_meses_recebe"	"cod_deducao_val"	"cod_item_prev"	"val_deducao_prev"	"cod_item_ir"	"val_deducao_ir"	"cod_item_outra"	"val_deducao_outra"	"fator_anual"	"num_deflator"	"val_renm_bruto_corrigido"	"val_deducao_prev_corrigido"	"val_deducao_ir_corrigido"	"val_deducao_outra_corrigido"	"valor_anual_expandido2"	"valor_prev_anual_expandido2"	"valor_ir_anual_expandido2"	"valor_outras_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"num_horas_trabalhadas"	"cod_ocup_final"	"cod_ativ_final"	"cod_imput_ocup_ativ"
"23"	14	53	4	2	9	1	3	1	1030.08969936	1276.28385915	53	1	1	1	101	450	9	11	1	50101	45	60101	0	70101	0	1	1.05	472.5	47.25	0	0	6633485.36	663348.54	0	0	0	2496.27	400.19	2896.46	44	5174	80012	0
"24"	14	53	5	0	11	1	1	1	947.38889615	1173.81734545	53	1	1	1	101	460	12	12	1	50101	30	60101	0	70101	0	1	1.01	464.6	30.3	0	0	6544266.46	426799.99	0	0	0	1162.22	25.08	1187.3	54	8711	15043	0
"25"	14	53	5	0	11	1	2	1	947.38889615	1173.81734545	53	1	3	1	301	550	12	12	2	50301	0	60301	0	70301	0	1	1.01	555.5	0	0	0	7824666.42	0	0	0	0	1162.22	25.08	1187.3	30	5162	95000	0
"26"	14	53	5	0	12	1	1	1	947.38889615	1173.81734545	53	1	3	1	301	450	2	12	2	50301	0	60301	0	70301	0	1	1.1	495	0	0	0	6972475.03	0	0	0	0	2096.5	0	2096.5	80	5121	95000	0
"27"	14	53	5	0	12	1	3	1	947.38889615	1173.81734545	53	1	3	1	301	450	2	12	2	50301	0	60301	0	70301	0	1	1.1	495	0	0	0	6972475.03	0	0	0	0	2096.5	0	2096.5	46	5121	95000	0
"28"	14	53	5	0	12	1	4	1	947.38889615	1173.81734545	53	1	1	1	101	450	2	12	2	50101	0	60101	0	70101	0	1	1.11	499.5	0	0	0	7035861.17	0	0	0	0	2096.5	0	2096.5	46	9112	29001	0
"29"	14	53	5	0	13	1	2	1	947.38889615	1173.81734545	53	1	1	1	101	400	1	12	2	50101	0	60101	0	70101	0	1	1	400	0	0	0	5634323.26	0	0	0	0	6910	1171.9	8081.9	10	3541	53063	0
"30"	14	53	5	0	14	1	1	1	947.38889615	1173.81734545	53	1	5	1	501	1500	1	12	2	50501	0	60501	0	70501	0	1	1	1500	0	0	0	21128712.22	0	0	0	0	1500	0	1500	55	7244	28001	0
"31"	14	53	5	0	5	1	1	1	947.38889615	1173.81734545	53	1	1	1	101	450	11	12	1	50101	45	60101	0	70101	0	1	1.01	454.5	45.45	0	0	6401999.8	640199.98	0	0	0	868.35	15.75	884.1	40	5142	1401	0
"32"	14	53	5	0	8	1	1	1	947.38889615	1173.81734545	53	1	1	1	101	450	11	12	1	50101	45	60101	0	70101	0	1	1.01	454.5	45.45	0	0	6401999.8	640199.98	0	0	0	488.83	19.28	508.11	30	4211	53070	0
