referencia|municipio|A01setor|A01nficha|A01npessoas|D01|D02|D06|D03|D04|D05|D07|D08|D09|D10|D11|D12|D13|D14|D15|D16|D17|D18|D19|D20|D21|D22|E01|E02|E03|E04|E05|E06|E07|E08|E09|E10|E11|E12|E13|E14|E15|PESO|PROJ_POP|pos_estrato
2016|43|15|1965|5|6516|6|99|2|4|29|2|3|1|18|99|8888|18|9|888|3|0|43|43|0|99|99|0|99|15|3|0|0|99|99|99|99|99|99999|0|99|43|36,0517712654682|2451,52044605184|03206
2016|43|15|1965|5|6517|2|99|2|4|29|2|3|1|1|1|8888|1|9|888|3|0|43|43|0|99|99|0|99|14|99|0|5|99|99|99|99|99|99999|0|0|43|36,0517712654682|2451,52044605184|03206
2016|43|15|1966|4|6522|1|99|1|1|45|3|7|1|1|88|2004|9|3|12|1|0|43|0|0|99|99|1|53|13|1|6|1|6|1|1|4|1|0|0|2|43|32,1333041306373|1606,66520653186|03110
2016|43|15|1966|4|6520|4|99|2|4|21|1|7|1|1|88|2004|9|1|12|1|0|43|0|0|99|99|1|53|15|3|6|1|18|3|43|1|3|0|0|2|43|36,5916347197107|2524,82279566004|03205
2016|43|15|1966|4|6519|4|99|1|4|21|1|7|1|1|88|2004|9|1|12|1|0|43|0|0|99|99|0|99|14|99|0|8|99|99|99|99|99|99999|0|0|0|25,061705110417|2506,1705110417|03105
2016|43|15|1966|4|6521|2|99|2|4|43|3|7|1|6|99|2004|9|3|12|1|0|43|0|0|99|99|0|99|14|99|6|1|12|3|43|1|1|77777|77777|2|43|30,2614632950533|2118,30243065373|03209
2016|43|15|1967|2|6523|2|99|2|4|68|4|1|1|18|99|1983|1|3|33|0|1|43|43|0|99|99|0|99|16|99|0|2|99|99|99|99|99|99999|0|99|43|12,6945241700666|558,559063482931|03214
2016|43|15|1967|2|6524|1|99|1|4|69|4|1|1|18|99|1983|1|3|33|0|1|43|43|0|99|99|0|99|14|99|0|2|99|99|99|99|99|99999|0|99|43|11,9429554712443|453,832307907283|03114
2016|43|15|1968|4|6525|4|0|1|1|9|99|1|1|1|2|2007|1|1|9|1|0|43|43|99|99|99|1|43|11|5|0|99|99|99|99|99|99|99999|99999|99|99|29,6253804089722|2488,53195435366|03102
2016|43|15|1968|4|6526|4|99|2|1|15|1|1|1|1|2|2001|1|1|15|1|0|43|43|99|99|99|1|43|11|8|0|7|99|99|99|99|99|99999|0|0|0|23,5845849087621|2429,2122456025|03204
2016|43|15|1968|4|6527|2|99|2|1|49|2|1|1|8|99|1996|9|1|20|3|0|43|43|0|99|99|0|99|12|99|0|2|99|99|99|99|99|99999|800|99|43|23,8864319819955|1695,93667072168|03210
2016|43|15|1968|4|6528|1|99|1|4|54|2|1|1|7|99|1996|9|6|20|3|0|43|43|0|99|99|0|99|12|99|0|0|99|99|99|99|99|99999|0|99|43|23,6685476702264|1254,433026522|03111
2016|43|15|1969|1|6529|1|99|1|2|43|1|1|1|7|99|1991|7|6|26|1|0|43|43|14|3|2|0|99|13|2|0|1|19|1|43|1|9|1800|0|2|49|26,1471774839939|1934,89113381555|03109
2016|43|15|1970|5|6530|4|99|2|2|16|1|1|1|1|1|2000|9|1|16|3|1|1|0|0|99|99|1|43|11|8|0|7|99|99|99|99|99|99999|0|0|0|23,5845849087621|2429,2122456025|03204
2016|43|15|1970|5|6534|1|99|1|2|56|7|1|1|9|99|9999|99|99|888|3|1|1|0|12|3|1|0|99|11|88|0|1|4|1|1|4|1|88888|88888|2|43|20,5956798460798|926,805593073593|03112
2016|43|15|1970|5|6532|4|99|2|2|24|1|1|1|1|1|1992|9|1|24|3|1|1|0|12|3|1|0|99|14|99|0|1|4|1|1|4|11|1000|0|2|43|36,5916347197107|2524,82279566004|03205
2016|43|15|1970|5|6531|4|99|1|2|22|1|1|1|1|1|1994|9|1|22|3|1|1|0|0|99|99|0|99|14|99|0|1|4|1|1|4|1|1000|0|2|43|25,061705110417|2506,1705110417|03105
2016|43|15|1970|5|6533|2|99|2|2|47|7|1|1|9|99|9999|99|99|888|3|1|1|0|12|3|1|0|99|11|8|0|1|13|2|43|1|1|88888|88888|1|43|23,8864319819955|1695,93667072168|03210
2016|43|15|1971|3|6537|1|99|2|4|70|5|1|1|20|99|2000|20|1|16|0|2|43|43|0|99|99|0|99|11|88|0|2|99|99|99|99|99|99999|880|99|43|22,9998463483713|804,994622192997|03215
2016|43|15|1971|3|6535|6|99|1|1|18|1|1|1|9|99|9999|99|99|15|3|0|43|43|0|99|99|3|99|12|99|0|7|99|99|99|99|99|99999|0|0|0|27,3717971800718|2518,20534056661|03104
2016|43|15|1971|3|6536|6|99|1|4|30|1|1|1|9|99|9999|99|99|30|3|0|43|43|0|99|99|0|99|16|99|0|1|19|1|43|1|11|88888|0|2|43|29,1830020925804|2334,64016740643|03107
2016|43|15|1972|2|6538|1|99|2|1|30|1|2|1|1|1|2012|1|1|4|1|0|10|10|0|99|99|0|99|14|99|0|1|88|1|1|6|1|77777|77777|2|43|28,5315163441309|2539,30495462765|03207
2016|43|15|1972|2|6539|6|99|2|4|50|1|2|1|19|99|2008|1|1|8|0|0|10|10|0|99|99|0|99|13|2|0|1|88|2|88|1|1|77777|77777|1|43|22,4043493827194|1366,66531234588|03211
2016|43|15|1973|2|6540|6|99|1|2|18|1|2|1|1|1|1998|1|1|18|3|0|43|0|0|99|99|0|99|14|99|0|0|99|99|99|99|99|99999|0|99|43|27,3717971800718|2518,20534056661|03104
2016|43|15|1973|2|6541|1|99|2|1|73|8|2|1|13|99|1998|1|9|18|3|0|43|0|0|99|99|0|99|14|99|0|1|7|1|1|6|1|720|0|2|1|22,9998463483713|804,994622192997|03215
2016|43|15|1974|2|6542|6|99|1|4|23|1|2|1|2|99|1993|1|88|23|0|0|1|9|0|99|99|0|99|16|99|1|1|4|1|1|4|1|900|0|1|43|25,061705110417|2506,1705110417|03105
2016|43|15|1974|2|6543|1|99|2|4|64|8|2|1|10|99|1978|10|6|38|0|2|1|9|0|99|99|0|99|11|5|0|2|99|99|99|99|99|99999|0|99|0|16,2573504498877|812,867522494383|03213
2016|43|15|1975|2|6544|1|99|1|1|68|1|1|2|3|99|1990|10|6|26|0|2|43|43|0|99|99|0|99|14|99|0|2|99|99|99|99|99|99999|1700|99|43|11,9429554712443|453,832307907283|03114
2016|43|15|1975|2|6545|6|99|2|1|69|1|1|2|3|99|1990|10|6|26|0|0|43|43|0|99|99|0|99|11|5|0|2|99|99|99|99|99|99999|880|99|43|12,6945241700666|558,559063482931|03214
2016|43|15|1976|5|6549|4|99|2|1|49|6|1|2|13|99|1980|19|1|36|3|0|43|43|0|99|99|0|99|14|99|0|1|17|11|43|4|11|600|0|2|43|23,8864319819955|1695,93667072168|03210
2016|43|15|1976|5|6547|6|99|2|1|15|1|1|2|9|99|9999|99|99|15|3|0|43|43|99|99|99|1|43|12|99|0|7|99|99|99|99|99|99999|0|0|0|23,5845849087621|2429,2122456025|03204
2016|43|15|1976|5|6546|6|0|2|1|8|99|1|2|1|2|2008|1|1|8|3|0|43|43|99|99|99|1|43|11|2|0|99|99|99|99|99|99|99999|99999|99|99|31,1443145078933|2398,11221710779|03202
2016|43|15|1976|5|6550|1|99|2|1|60|8|1|2|13|99|1980|19|1|36|3|0|43|43|0|99|99|0|99|11|4|0|2|99|99|99|99|99|99999|1300|99|43|16,2573504498877|812,867522494383|03213
2016|43|15|1976|5|6548|6|99|2|1|17|1|1|2|1|2|1998|1|1|17|3|0|43|43|0|99|99|0|99|14|99|0|0|99|99|99|99|99|99999|0|99|0|23,5845849087621|2429,2122456025|03204
2016|43|15|1977|2|6551|2|99|2|2|60|4|1|1|13|99|1980|1|3|35|0|0|43|43|11|1|2|0|99|11|4|0|0|99|99|99|99|99|99999|0|99|43|16,2573504498877|812,867522494383|03213
2016|43|15|1977|2|6552|1|99|1|2|72|4|1|0|15|99|1980|1|3|35|0|0|43|43|11|1|2|0|99|11|4|0|2|99|99|99|99|99|99999|2500|99|43|21,5767259343956|604,148326163077|03115
2016|43|15|1978|1|6553|1|99|2|2|32|1|1|2|13|99|2011|13|6|5|0|0|43|43|0|99|99|0|99|12|99|0|1|13|1|1|4|1|77777|77777|2|43|28,5315163441309|2539,30495462765|03207
2016|43|15|1980|6|6559|1|99|1|1|33|7|1|0|10|99|2010|10|6|6|3|0|43|43|0|99|99|0|99|11|4|0|1|4|1|43|1|11|1200|224|2|43|29,1830020925804|2334,64016740643|03107
2016|43|15|1980|6|6558|4|99|2|1|18|1|3|1|10|99|1998|10|1|18|3|0|43|43|12|3|1|1|43|11|8|0|7|99|99|99|99|99|99999|0|0|0|23,5845849087621|2429,2122456025|03204
2016|43|15|1980|6|6556|4|0|2|1|1|99|3|1|1|2|2015|1|1|1|0|0|43|43|99|99|99|0|99|99|99|0|99|99|99|99|99|99|99999|99999|99|99|45,3686218326791|2586,01144446271|03201
2016|43|15|1980|6|6555|4|0|2|1|1|99|3|1|1|2|2015|1|1|1|0|0|43|43|99|99|99|0|99|99|99|0|99|99|99|99|99|99|99999|99999|99|99|45,3686218326791|2586,01144446271|03201
2016|43|15|1980|6|6557|4|0|2|4|7|99|3|1|1|2|2009|1|1|7|0|0|43|43|99|99|99|1|43|11|1|0|99|99|99|99|99|99|99999|99999|99|99|31,1443145078933|2398,11221710779|03202
2016|43|15|1980|6|6560|2|99|2|4|35|7|3|1|10|99|2005|10|6|16|3|0|43|43|0|99|99|0|99|14|99|0|1|4|11|43|1|12|1200|0|2|43|31,3693893829799|2509,55115063839|03208
2016|43|15|1981|2|6561|1|99|2|4|34|1|3|1|9|99|9999|99|99|6|1|0|43|43|0|99|99|0|99|11|1|0|1|3|11|43|2|3|77777|77777|2|43|28,5315163441309|2539,30495462765|03207
2016|43|15|1981|2|6562|2|99|1|1|57|2|3|1|17|99|1979|10|3|6|1|2|43|43|0|99|99|0|99|15|2|0|5|99|99|99|99|99|99999|88888|0|43|20,5956798460798|926,805593073593|03112
2016|43|15|1982|3|6563|4|0|1|1|3|99|2|2|6|99|8888|6|88|888|0|0|43|43|99|99|99|0|99|99|99|0|99|99|99|99|99|99|99999|99999|99|99|39,4468296602876|2682,38441689956|03101
2016|43|15|1982|3|6564|2|99|2|1|32|4|2|2|6|99|2013|6|6|3|0|0|43|43|0|99|99|0|99|14|99|0|5|99|99|99|99|99|99999|0|0|0|28,5315163441309|2539,30495462765|03207
2016|43|15|1982|3|6565|1|99|1|1|39|4|2|2|6|99|2008|6|6|8|0|0|43|43|0|99|99|0|99|14|99|0|1|2|88|1|4|1|1000|0|1|43|26,6149766958678|2209,04306575703|03108
2016|43|15|1983|3|6566|4|99|2|2|16|1|1|1|9|99|9999|99|99|16|1|0|43|43|0|99|99|1|43|13|1|5|7|99|99|99|99|99|99999|0|0|0|23,5845849087621|2429,2122456025|03204
2016|43|15|1983|3|6568|1|99|2|2|41|5|2|1|18|99|1981|18|1|13|1|0|43|43|12|3|1|0|99|10|99|5|6|99|99|99|99|99|99999|0|0|43|30,2614632950533|2118,30243065373|03209
2016|43|15|1983|3|6567|4|99|1|1|22|1|0|99|9|99|9999|99|99|22|1|0|43|43|12|3|1|0|99|10|99|0|1|4|2|2|3|1|1300|0|2|88|25,061705110417|2506,1705110417|03105
2016|43|15|1984|3|6571|2|99|2|4|37|2|1|2|1|1|1995|1|3|21|3|0|43|43|0|99|99|0|99|15|2|0|6|99|99|99|99|99|99999|0|0|43|31,3693893829799|2509,55115063839|03208
2016|43|15|1984|3|6570|1|99|1|4|37|2|1|2|7|99|1994|7|2|22|3|0|43|43|0|99|99|0|99|15|2|0|6|99|99|99|99|99|99999|0|0|43|26,6149766958678|2209,04306575703|03108
2016|43|15|1984|3|6569|4|0|2|4|8|99|1|2|1|1|2008|9|1|8|3|0|43|43|99|99|99|1|43|11|4|0|99|99|99|99|99|99|99999|99999|99|99|31,1443145078933|2398,11221710779|03202
2016|43|15|1986|3|6575|4|0|1|4|12|99|1|1|7|99|8888|88|88|888|3|0|1|1|99|99|99|1|43|11|7|0|7|99|99|99|99|99|99999|0|99|0|30,4401642288705|2404,77297408077|03103
2016|43|15|1986|3|6576|1|99|2|4|37|1|1|1|7|99|1996|7|6|20|3|0|1|1|0|99|99|0|99|11|4|0|0|99|99|99|99|99|99999|0|99|1|31,3693893829799|2509,55115063839|03208
2016|43|15|1986|3|6577|2|99|1|4|46|1|1|1|1|1|1996|1|6|20|3|0|1|1|0|99|99|0|99|14|99|0|1|3|2|1|4|1|2000|0|1|1|32,1333041306373|1606,66520653186|03110
2016|43|15|1987|10|6578|7|0|2|4|6|99|1|1|1|1|8888|88|88|888|3|0|43|43|99|99|99|1|43|11|1|0|99|99|99|99|99|99|99999|99999|99|99|31,1443145078933|2398,11221710779|03202
