referencia|municipio|A01setor|A01nficha|A01npessoas|D01|D02|D06|D03|D04|D05|D07|D08|D09|D10|D11|D12|D13|D14|D15|D16|D17|D18|D19|D20|D21|D22|E01|E02|E03|E04|E05|E06|E07|E08|E09|E10|E11|E12|E13|E14|E15|PESO|PROJ_POP|pos_estrato
2018|41|1|1|3|1|4|99|1|4|25|1|2|2|9|99|9999|99|99|18|3|0|41|41|11|5|3|0|99|12|99|0|1|77|2|41|1|1|2400|0|1|41|75,3235261755584|11072,5583478071|01106
2018|41|1|1|3|3|1|99|2|1|63|5|0|99|9|99|9999|99|99|18|0|0|41|41|11|1|1|0|99|1|99|0|6|99|99|99|99|99|99999|0|0|0|40,1811246181652|2049,23735552643|01213
2018|41|1|1|3|2|4|99|2|4|31|1|0|99|1|1|1999|1|1|18|3|0|41|41|12|3|1|2|41|15|1|0|1|12|1|41|1|1|1500|0|4|41|86,6012372563359|9785,93980996595|01207
2018|41|1|2|4|4|4|99|2|1|20|1|1|2|9|99|9999|99|99|1|1|0|41|41|0|99|99|0|99|15|4|0|0|99|99|99|99|99|99999|0|99|32|67,6272119840344|11496,6260372859|01205
2018|41|1|2|4|5|4|99|1|1|25|1|1|2|9|99|9999|99|99|1|1|0|41|32|0|99|99|0|99|14|99|0|1|3|1|1|4|1|1400|0|4|32|75,3235261755584|11072,5583478071|01106
2018|41|1|2|4|7|1|99|1|1|53|2|1|2|1|1|8888|1|1|1|1|0|41|41|0|99|99|0|99|14|99|0|0|99|99|99|99|99|99999|77777|99|41|49,2500138881598|5072,75143048046|01111
2018|41|1|2|4|6|2|99|2|2|52|2|1|2|1|1|8888|1|1|1|1|0|41|41|0|99|99|0|99|14|99|0|1|14|6|4|3|3|11000|0|1|41|50,6946823016788|5170,85759477124|01211
2018|41|1|3|2|8|2|99|2|4|68|4|2|1|15|99|1995|9|1|23|0|0|41|0|0|99|99|0|99|1|99|0|5|99|99|99|99|99|99999|0|0|0|45,8435062027782|1375,30518608335|01214
2018|41|1|3|2|9|1|99|1|1|82|4|2|1|9|99|9999|99|99|23|0|0|41|0|0|99|99|0|99|1|99|0|2|99|99|99|99|99|99999|954|99|41|42,0759568383895|1893,41805772753|01115
2018|41|1|4|1|10|1|99|2|4|66|6|2|1|7|99|2009|7|1|9|0|0|41|41|0|99|99|0|99|4|99|0|2|99|99|99|99|99|99999|984|99|41|45,8435062027782|1375,30518608335|01214
